,County,City,Incorportation_date,pop_april_1980,pop_april_1990,pop_april_2000,pop_april_2010,Latitude,Longitude,Total_Pop
0,San Bernardino,Adelanto,1970,2164.0,8517.0,18130.0,31765.0,34.582769,-117.409214,60576.0
2,Alameda,Alameda,1854,63852.0,76459.0,72259.0,73812.0,37.765206,-122.241636,286382.0
3,Alameda,Albany,1908,15130.0,16327.0,16444.0,18539.0,37.886869,-122.297747,66440.0
4,Los Angeles,Alhambra,1903,64767.0,82106.0,85804.0,83089.0,34.095286,-118.127014,315766.0
5,Modoc,Alturas,1901,3025.0,3231.0,2892.0,2827.0,41.487114,-120.542456,11975.0
6,Amador,Amador City,1915,136.0,196.0,196.0,185.0,38.419356,-120.824103,713.0
7,Orange,Anaheim,1876,219494.0,266406.0,328014.0,336265.0,33.835292,-117.914503,1150179.0
8,Shasta,Anderson,1956,7381.0,8299.0,9022.0,9932.0,40.448208,-122.297783,34634.0
9,Calaveras,Angels,1912,2302.0,2409.0,3004.0,3836.0,38.067783,-120.538531,11551.0
10,Contra Costa,Antioch,1872,42683.0,62195.0,90532.0,102372.0,38.004922,-121.805789,297782.0
12,Los Angeles,Arcadia,1903,45993.0,48290.0,53054.0,56364.0,34.139728,-118.035344,203701.0
13,Humboldt,Arcata,1858,12850.0,15197.0,16651.0,17231.0,40.866517,-124.082839,61929.0
14,San Luis Obispo,Arroyo Grande,1911,11290.0,14378.0,15851.0,17252.0,35.118586,-120.590725,58771.0
15,Los Angeles,Artesia,1959,14301.0,15464.0,16380.0,16522.0,33.865847,-118.083122,62667.0
16,Kern,Arvin,1960,6863.0,9286.0,12956.0,19304.0,35.2018,-118.833106,48409.0
17,San Luis Obispo,Atascadero,1979,16232.0,23138.0,26411.0,28310.0,35.489417,-120.670725,94091.0
19,Merced,Atwater,1922,17530.0,22282.0,23113.0,28168.0,37.347717,-120.609083,91093.0
20,Placer,Auburn,1888,7540.0,10592.0,12462.0,13330.0,38.896564,-121.076889,43924.0
21,Los Angeles,Avalon,1913,2022.0,2918.0,3127.0,3728.0,33.342819,-118.328228,11795.0
22,Kings,Avenal,1979,4137.0,9770.0,14674.0,15505.0,36.004122,-120.129028,44086.0
23,Los Angeles,Azusa,1898,29380.0,41333.0,44712.0,46361.0,34.133619,-117.907564,161786.0
24,Kern,Bakersfield,1873,105611.0,174820.0,246889.0,347483.0,35.373292,-119.018711,874803.0
25,Los Angeles,Baldwin Park,1956,50554.0,69330.0,75837.0,75390.0,34.085286,-117.960897,271111.0
26,Riverside,Banning,1913,14020.0,20570.0,23562.0,29603.0,33.925572,-116.876411,87755.0
27,San Bernardino,Barstow,1947,17690.0,21472.0,21119.0,22639.0,34.895797,-117.017283,82920.0
28,Riverside,Beaumont,1912,6818.0,9685.0,11384.0,36877.0,33.929461,-116.977247,64764.0
29,Los Angeles,Bell,1927,25450.0,34365.0,36664.0,35477.0,33.977514,-118.187017,131956.0
30,Los Angeles,Bell Gardens,1961,34117.0,42355.0,44054.0,42072.0,33.965292,-118.151458,162598.0
31,Los Angeles,Bellflower,1957,53441.0,61815.0,72878.0,76616.0,33.881683,-118.117011,264750.0
32,San Mateo,Belmont,1926,24505.0,24127.0,25123.0,25835.0,37.520214,-122.2758,99590.0
33,Marin,Belvedere,1896,2401.0,2147.0,2125.0,2068.0,37.872703,-122.464417,8741.0
35,Alameda,Berkeley,1878,103328.0,102724.0,102743.0,112580.0,37.871592,-122.272747,421375.0
36,Los Angeles,Beverly Hills,1914,32646.0,31971.0,33784.0,34109.0,34.073619,-118.400356,132510.0
38,Butte,Biggs,1903,1413.0,1581.0,1793.0,1707.0,39.412389,-121.71275,6494.0
39,Inyo,Bishop,1903,3333.0,3475.0,3575.0,3879.0,37.363539,-118.395111,14262.0
40,Humboldt,Blue Lake,1910,1201.0,1235.0,1135.0,1253.0,40.882908,-123.98395,4824.0
41,Riverside,Blythe,1916,6805.0,8428.0,20463.0,20817.0,33.617233,-114.589175,56513.0
42,Los Angeles,Bradbury,1957,846.0,829.0,855.0,1048.0,34.14695,-117.970897,3578.0
43,Imperial,Brawley,1908,14946.0,18923.0,22052.0,24953.0,32.978658,-115.530267,80874.0
44,Orange,Brea,1917,27913.0,32873.0,35410.0,39282.0,33.916681,-117.900061,135478.0
45,Contra Costa,Brentwood,1948,4434.0,7563.0,23302.0,51481.0,34.057361,-118.480511,86780.0
46,San Mateo,Brisbane,1961,2969.0,2952.0,3597.0,4282.0,37.680767,-122.399972,13800.0
47,Orange,Buena Park,1953,64165.0,68784.0,78282.0,80530.0,33.867514,-117.998117,291761.0
48,Los Angeles,Burbank,1911,84625.0,93643.0,100316.0,103340.0,34.180839,-118.308967,381924.0
49,San Mateo,Burlingame,1908,26173.0,26801.0,28158.0,28806.0,37.584103,-122.366083,109938.0
50,Imperial,Calexico,1908,14412.0,18633.0,27109.0,38572.0,32.678947,-115.498883,98726.0
51,Kern,California City,1965,2743.0,5955.0,8385.0,14120.0,35.1258,-117.985903,31203.0
52,Imperial,Calipatria,1919,2636.0,2690.0,7289.0,7705.0,33.125597,-115.514153,20320.0
53,Napa,Calistoga,1886,3879.0,4468.0,5190.0,5155.0,38.578797,-122.579706,18692.0
54,Ventura,Camarillo,1964,37797.0,52303.0,57077.0,65201.0,34.216394,-119.037603,212378.0
55,Santa Clara,Campbell,1952,26910.0,36048.0,38138.0,39349.0,37.287164,-121.949958,140445.0
56,Santa Cruz,Capitola,1949,9095.0,10171.0,10033.0,9918.0,36.975228,-121.953292,39217.0
57,San Diego,Carlsbad,1952,35490.0,63126.0,78247.0,105328.0,33.158092,-117.350594,282191.0
59,Santa Barbara,Carpinteria,1965,10835.0,13747.0,14194.0,13040.0,34.398883,-119.518456,51816.0
60,Los Angeles,Carson,1968,81221.0,83995.0,89730.0,91714.0,33.831406,-118.282017,346660.0
62,Stanislaus,Ceres,1918,13281.0,26314.0,34609.0,45417.0,37.594933,-120.957711,119621.0
63,Los Angeles,Cerritos,1956,53020.0,53240.0,51488.0,49041.0,33.858347,-118.064786,206789.0
64,Butte,Chico,1872,26716.0,40079.0,60516.0,86187.0,39.728494,-121.837478,213498.0
65,San Bernardino,Chino,1910,40165.0,59682.0,67168.0,77983.0,34.012236,-117.688944,244998.0
66,Madera,Chowchilla,1923,5122.0,5930.0,14416.0,18720.0,37.123,-120.260175,44188.0
67,San Diego,Chula Vista,1911,35490.0,63126.0,173556.0,243916.0,32.640053,-117.084197,516088.0
68,Los Angeles,Claremont,1907,31028.0,32503.0,33998.0,34926.0,34.096675,-117.719778,132455.0
69,Contra Costa,Clayton,1964,4325.0,7317.0,10762.0,10897.0,37.941033,-121.935792,33301.0
70,Sonoma,Cloverdale,1872,3989.0,4924.0,6831.0,8618.0,38.805461,-123.017222,24362.0
71,Fresno,Clovis,1912,33021.0,50323.0,68468.0,95631.0,36.825228,-119.702919,247443.0
72,Riverside,Coachella,1946,9129.0,16896.0,22724.0,40704.0,33.6803,-116.173894,89453.0
73,Fresno,Coalinga,1906,6593.0,8212.0,16213.0,13380.0,36.139678,-120.36015,44398.0
74,Placer,Colfax,1910,981.0,1306.0,1496.0,1963.0,39.100731,-120.953275,5746.0
76,San Bernardino,Colton,1887,21310.0,40213.0,47662.0,52154.0,34.073903,-117.313656,161339.0
77,Colusa,Colusa,1868,4075.0,4934.0,5402.0,5971.0,39.214333,-122.009417,20382.0
78,Los Angeles,Commerce,1960,10509.0,12135.0,12568.0,12823.0,34.000569,-118.159792,48035.0
79,Los Angeles,Compton,1888,81347.0,90454.0,93493.0,96455.0,33.89585,-118.220072,361749.0
80,Contra Costa,Concord,1905,103763.0,111348.0,121780.0,122067.0,37.977978,-122.031072,458958.0
81,Kings,Corcoran,1914,6454.0,13364.0,20835.0,24813.0,37.977978,-122.031072,65466.0
82,Tehama,Corning,1907,4745.0,5870.0,6741.0,7663.0,39.927658,-122.179156,25019.0
83,Riverside,Corona,1896,37791.0,76095.0,124966.0,152374.0,33.875294,-117.566439,391226.0
84,San Diego,Coronado,1890,18790.0,26540.0,24100.0,18912.0,32.685886,-117.183089,88342.0
86,Orange,Costa Mesa,1953,82562.0,96357.0,108724.0,109960.0,33.641133,-117.918669,397603.0
87,Sonoma,Cotati,1963,3346.0,5714.0,6471.0,7265.0,38.327778,-122.709167,22796.0
88,Los Angeles,Covina,1901,32746.0,43207.0,46837.0,47796.0,34.090008,-117.890339,170586.0
89,Del Norte,Crescent City,1854,3075.0,4380.0,7347.0,7643.0,41.755947,-124.201747,22445.0
90,Los Angeles,Cudahy,1960,18275.0,22817.0,24208.0,23805.0,33.960569,-118.18535,89105.0
91,Los Angeles,Culver City,1917,38139.0,38793.0,38816.0,38883.0,34.021122,-118.396467,154631.0
92,Santa Clara,Cupertino,1955,34297.0,40263.0,50546.0,58302.0,37.322997,-122.032183,183408.0
93,Orange,Cypress,1956,40738.0,42655.0,46229.0,47802.0,37.320531,-121.962242,177424.0
94,San Mateo,Daly City,1911,78427.0,92311.0,103625.0,101123.0,37.687925,-122.470208,375486.0
97,Yolo,Davis,1917,36640.0,46209.0,60308.0,65622.0,38.544906,-121.740517,208779.0
98,San Diego,Del Mar,1959,5017.0,4860.0,4389.0,4161.0,32.959489,-117.265314,18427.0
99,Monterey,Del Rey Oaks,1953,1557.0,1661.0,1650.0,1624.0,36.593292,-121.834953,6492.0
100,Kern,Delano,1915,16491.0,22762.0,39489.0,53041.0,35.768842,-119.247053,131783.0
101,Riverside,Desert Hot Springs,1963,5941.0,11668.0,16582.0,25938.0,33.961125,-116.501678,60129.0
103,Tulare,Dinuba,1906,9907.0,12743.0,16844.0,21453.0,36.543283,-119.387067,60947.0
104,Solano,Dixon,1878,7541.0,10401.0,16103.0,18351.0,38.445464,-121.823297,52396.0
105,Siskiyou,Dorris,1908,836.0,892.0,886.0,939.0,41.967369,-121.918061,3553.0
106,Merced,Dos Palos,1935,3121.0,4196.0,4581.0,4950.0,36.986058,-120.626572,16848.0
107,Los Angeles,Downey,1956,82602.0,91444.0,107323.0,111772.0,33.940014,-118.132569,393141.0
108,Los Angeles,Duarte,1957,16766.0,20688.0,21486.0,21321.0,34.13945,-117.977286,80261.0
109,Alameda,Dublin,1982,13496.0,23229.0,29973.0,46036.0,37.702153,-121.935792,112734.0
110,Siskiyou,Dunsmuir,1909,2253.0,2129.0,1923.0,1650.0,41.208208,-122.271953,7955.0
112,San Diego,El Cajon,1912,73892.0,88693.0,94869.0,99478.0,32.794772,-116.962528,356932.0
113,Imperial,El Centro,1908,23996.0,31384.0,37835.0,42598.0,32.792,-115.56305,135813.0
114,Contra Costa,El Cerrito,1917,22731.0,22869.0,23171.0,23549.0,37.916133,-122.310764,92320.0
115,Los Angeles,El Monte,1912,79494.0,106209.0,115965.0,113475.0,34.068622,-118.027567,415143.0
116,Los Angeles,El Segundo,1917,13752.0,15223.0,16033.0,16654.0,33.919181,-118.416464,61662.0
117,Alameda,Emeryville,1896,3714.0,5740.0,6882.0,10080.0,37.831317,-122.285247,26416.0
119,San Joaquin,Escalon,1957,3127.0,4437.0,5963.0,7132.0,37.797428,-120.996603,20659.0
120,San Diego,Escondido,1888,64355.0,108635.0,133559.0,143911.0,33.119208,-117.086422,450460.0
121,Siskiyou,Etna,1878,754.0,835.0,781.0,737.0,41.456806,-122.894756,3107.0
122,Humboldt,Eureka,1856,24153.0,27025.0,26128.0,27191.0,40.802072,-124.163672,104497.0
123,Tulare,Exeter,1911,5606.0,7276.0,9168.0,10334.0,36.296061,-119.142053,32384.0
125,Solano,Fairfield,1903,58099.0,77211.0,96178.0,105321.0,38.249358,-122.039967,336809.0
126,Tulare,Farmersville,1960,5544.0,6235.0,8737.0,10588.0,36.297728,-119.206778,31104.0
127,Humboldt,Ferndale,1893,1367.0,1331.0,1382.0,1371.0,40.576242,-124.263944,5451.0
128,Ventura,Fillmore,1914,9602.0,11992.0,13643.0,15002.0,34.399164,-118.918153,50239.0
129,Fresno,Firebaugh,1914,3740.0,4429.0,5743.0,7549.0,36.858839,-120.456008,21461.0
130,Sacramento,Folsom,1946,11003.0,29802.0,51884.0,72203.0,38.677958,-121.176058,164892.0
131,San Bernardino,Fontana,1952,36991.0,87535.0,128929.0,196069.0,34.092233,-117.435047,449524.0
132,Mendocino,Fort Bragg,1889,5019.0,6078.0,6814.0,7273.0,39.445722,-123.805292,25184.0
133,Siskiyou,Fort Jones,1872,544.0,639.0,660.0,839.0,41.663864,-124.252892,2682.0
134,Humboldt,Fortuna,1906,7591.0,8788.0,10497.0,11926.0,40.598186,-124.157275,38802.0
135,San Mateo,Foster City,1971,23287.0,28176.0,28803.0,30567.0,37.558547,-122.271078,110833.0
136,Orange,Fountain Valley,1957,55080.0,53691.0,54978.0,55313.0,33.709186,-117.953669,219062.0
137,Fresno,Fowler,1908,2496.0,3208.0,3979.0,5570.0,36.630506,-119.678469,15253.0
138,Alameda,Fremont,1956,131945.0,173339.0,203413.0,214089.0,37.548269,-121.988572,722786.0
139,Fresno,Fresno,1885,217129.0,354202.0,427652.0,494665.0,36.746842,-119.772586,1493648.0
140,Orange,Fullerton,1904,102246.0,114144.0,126003.0,135161.0,33.870292,-117.925339,477554.0
141,Sacramento,Galt,1946,5514.0,8889.0,19472.0,23647.0,38.254636,-121.299947,57522.0
142,Orange,Garden Grove,1956,123307.0,143050.0,165196.0,170883.0,33.773906,-117.941447,602436.0
143,Los Angeles,Gardena,1930,45165.0,49847.0,57746.0,58829.0,33.88835,-118.308961,211587.0
144,Santa Clara,Gilroy,1870,25769.0,26303.0,41464.0,48821.0,37.005783,-121.568275,142357.0
145,Los Angeles,Glendale,1906,139060.0,180038.0,194973.0,191719.0,34.142508,-118.255075,705790.0
146,Los Angeles,Glendora,1911,38500.0,47828.0,49415.0,50073.0,34.136119,-117.865339,185816.0
147,Monterey,Gonzales,1947,2891.0,4660.0,7564.0,8187.0,36.506628,-121.444381,23302.0
148,San Bernardino,Grand Terrace,1978,8498.0,10946.0,11626.0,12040.0,34.033903,-117.313653,43110.0
149,Nevada,Grass Valley,1893,6697.0,9048.0,10922.0,12860.0,39.219061,-121.061061,39527.0
150,Monterey,Greenfield,1947,4181.0,7464.0,12648.0,16330.0,36.3208,-121.243814,40623.0
151,Butte,Gridley,1905,3982.0,4631.0,5382.0,6584.0,39.363778,-121.693583,20579.0
152,San Luis Obispo,Grover Beach,1959,8827.0,11656.0,13067.0,13156.0,35.121642,-120.621283,46706.0
153,Santa Barbara,Guadalupe,1946,3629.0,5479.0,5659.0,7080.0,34.971644,-120.571836,21847.0
154,Merced,Gustine,1915,3142.0,3931.0,4698.0,5520.0,37.257717,-120.998814,17291.0
155,San Mateo,Half Moon Bay,1959,7282.0,8886.0,11842.0,11324.0,37.463553,-122.428586,39334.0
156,Kings,Hanford,1891,20958.0,30897.0,41686.0,53967.0,36.32745,-119.645683,147508.0
157,Los Angeles,Hawaiian Gardens,1964,10548.0,13639.0,14779.0,14254.0,33.831403,-118.072842,53220.0
158,Los Angeles,Hawthorne,1922,56437.0,71349.0,84112.0,84293.0,33.916403,-118.352575,296191.0
159,Alameda,Hayward,1876,94342.0,111498.0,140030.0,144186.0,37.668819,-122.080797,490056.0
160,Sonoma,Healdsburg,1867,7217.0,9469.0,10722.0,11254.0,38.610467,-122.869161,38662.0
161,Riverside,Hemet,1910,22454.0,36094.0,58812.0,78657.0,33.747519,-116.971967,196017.0
162,Contra Costa,Hercules,1900,5963.0,16829.0,19488.0,24060.0,38.017144,-122.288581,66340.0
163,Los Angeles,Hermosa Beach,1907,18070.0,18219.0,18566.0,19506.0,33.862236,-118.399519,74361.0
165,Los Angeles,Hidden Hills,1961,1760.0,1729.0,1875.0,1856.0,34.160283,-118.652311,7220.0
168,San Benito,Hollister,1872,11488.0,19212.0,34413.0,34928.0,36.852453,-121.401603,100041.0
169,Imperial,Holtville,1908,4399.0,4820.0,5612.0,5939.0,32.811161,-115.380264,20770.0
170,Stanislaus,Hughson,1972,2943.0,3259.0,3980.0,6640.0,37.602725,-120.866481,16822.0
171,Orange,Huntington Beach,1909,170505.0,181519.0,189594.0,189992.0,33.660297,-117.999225,731610.0
172,Los Angeles,Huntington Park,1906,45932.0,56065.0,61348.0,58114.0,33.981681,-118.225072,221459.0
173,Fresno,Huron,1951,2768.0,4766.0,6306.0,6754.0,36.202731,-120.102917,20594.0
174,Imperial,Imperial,1904,3451.0,4113.0,7560.0,14758.0,32.847553,-115.569439,29882.0
175,San Diego,Imperial Beach,1956,22689.0,26512.0,26992.0,26324.0,32.583944,-117.113086,102517.0
176,Riverside,Indian Wells,1967,1394.0,2647.0,3816.0,4958.0,33.717631,-116.340756,12815.0
177,Riverside,Indio,1930,21611.0,36793.0,49116.0,76036.0,33.720578,-116.215561,183556.0
178,Los Angeles,Industry,1957,412.0,631.0,777.0,219.0,34.019733,-117.958675,2039.0
179,Los Angeles,Inglewood,1908,94162.0,109602.0,112580.0,109673.0,33.961681,-118.353131,426017.0
180,Amador,Ione,1953,2207.0,6516.0,7129.0,7918.0,38.352692,-120.932717,23770.0
181,Orange,Irvine,1971,62134.0,110330.0,143072.0,212375.0,33.683947,-117.794694,527911.0
182,Los Angeles,Irwindale,1957,1030.0,1050.0,1446.0,1422.0,34.106953,-117.935342,4948.0
183,Sacramento,Isleton,1923,914.0,833.0,828.0,804.0,38.161861,-121.611622,3379.0
184,Amador,Jackson,1905,2331.0,3545.0,3989.0,4651.0,38.348803,-120.774103,14516.0
185,Fresno,Kerman,1946,4002.0,5448.0,8551.0,13544.0,36.723558,-120.059878,31545.0
186,Monterey,King City,1911,5495.0,7634.0,11204.0,12874.0,36.212744,-121.126028,37207.0
187,Fresno,Kingsburg,1908,5115.0,7205.0,9199.0,11382.0,36.513839,-119.554017,32901.0
188,Los Angeles,La Cañada Flintridge,1976,20153.0,19378.0,20318.0,20246.0,34.206817,-118.200028,80095.0
189,Orange,La Habra,1925,45232.0,51266.0,58974.0,60239.0,33.931958,-117.946172,215711.0
190,Los Angeles,La Habra Heights,1978,4786.0,6226.0,5712.0,5325.0,33.960847,-117.950619,22049.0
191,San Diego,La Mesa,1912,50308.0,52931.0,54749.0,57065.0,32.767828,-117.023083,215053.0
192,Los Angeles,La Mirada,1960,40986.0,40452.0,46783.0,48527.0,33.917236,-118.012008,176748.0
193,Orange,La Palma,1955,15399.0,15392.0,15408.0,15568.0,33.846403,-118.046731,61767.0
194,Los Angeles,La Puente,1956,30882.0,36955.0,41063.0,39816.0,34.020011,-117.949508,148716.0
196,Los Angeles,La Verne,1906,23508.0,30897.0,31638.0,31063.0,34.100842,-117.767836,117106.0
197,Contra Costa,Lafayette,1968,20837.0,23501.0,23908.0,23893.0,37.885758,-122.118019,92139.0
198,Orange,Laguna Beach,1927,17858.0,23170.0,23727.0,22723.0,33.542247,-117.783111,87478.0
200,Riverside,Lake Elsinore,1888,5982.0,18285.0,28928.0,51821.0,33.668078,-117.327261,105016.0
201,Lake,Lakeport,1888,3675.0,4390.0,4820.0,4753.0,39.04295,-122.915828,17638.0
202,Los Angeles,Lakewood,1954,74654.0,73557.0,79345.0,80048.0,33.853628,-118.133956,307604.0
203,Los Angeles,Lancaster,1977,48027.0,97291.0,118718.0,156633.0,34.686786,-118.154164,420669.0
204,Marin,Larkspur,1908,11064.0,11070.0,12014.0,11926.0,37.934092,-122.535253,46074.0
206,Los Angeles,Lawndale,1959,23460.0,27331.0,31711.0,32769.0,33.887236,-118.352575,115271.0
207,San Diego,Lemon Grove,1977,20780.0,23984.0,24918.0,25320.0,32.742553,-117.031417,95002.0
208,Kings,Lemoore,1900,8832.0,13622.0,19712.0,24531.0,36.300783,-119.782911,66697.0
209,Placer,Lincoln,1890,4132.0,7248.0,11205.0,42819.0,38.891564,-121.293008,65404.0
210,Tulare,Lindsay,1910,6936.0,8338.0,10297.0,11768.0,36.203006,-119.088161,37339.0
211,Sutter,Live Oak,1947,3103.0,4320.0,6229.0,8392.0,36.983561,-121.980517,22044.0
212,Alameda,Livermore,1876,48349.0,56741.0,73345.0,80968.0,37.681875,-121.768008,259403.0
213,Merced,Livingston,1922,5326.0,7317.0,10473.0,13058.0,37.386883,-120.723533,36174.0
214,San Joaquin,Lodi,1906,35221.0,51874.0,56999.0,62134.0,38.134147,-121.272219,206228.0
215,San Bernardino,Loma Linda,1970,10694.0,17400.0,18681.0,23261.0,34.048347,-117.261153,70036.0
216,Los Angeles,Lomita,1964,18807.0,19382.0,20046.0,20256.0,33.792239,-118.315072,78491.0
